Day,Date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_tests,new_cases,total_tests,tests_per_case,positive_rate,hospital_beds_per_thousand,population
1,31-12-2019,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
2,01-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
3,02-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
4,03-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
5,04-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
6,05-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
7,06-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
8,07-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
9,08-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
10,09-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
11,10-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
12,11-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
13,12-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
14,13-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
15,14-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
16,15-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
17,16-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
18,17-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
19,18-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
20,19-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
21,20-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
22,21-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
23,22-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
24,23-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
25,24-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
26,25-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
27,26-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
28,27-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
29,28-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
30,29-01-2020,0,0.0,0.0,0.0,0.0,nan,0.0,nan,nan,nan,0.53,1380004385.0
